ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family,subfamily,latitude,longitude
finnish,Finnish,finn1318,,fin,,Uralic,Finnic,62,25
northkarelian,North Karelian,kare1335,,krl,,Uralic,Finnic,64,32
olonetskarelian,Olonets Karelian,livv1243,,olo,,Uralic,Finnic,,
veps,Veps,veps1250,,vep,,Uralic,Finnic,60,35
estonian,Estonian,esto1258,,ekk,,Uralic,Finnic,59,26
livonian,Livonian,livv1244,,liv,,Uralic,Finnic,56.8333333333,24
southernsami,Southern Sami,sout2674,,sma,,Uralic,Saami,64.6666666667,16.75
lulesami,Lule Sami,lule1254,,smj,,Uralic,Saami,,
northernsami,Northern Sami,nort2671,,sme,,Uralic,Saami,69,24
inarisami,Inari Sami,inar1241,,smn,,Uralic,Saami,,
skoltsami,Skolt Sami,skol1241,,sms,,Uralic,Saami,,
kildinsami,Kildin Sami,kild1236,,sjd,,Uralic,Saami,67,37
hillmari,Hill Mari,west2392,,mrj,,Uralic,Mari,57,58
meadowmari,Meadow Mari,east2328,,mhr,,Uralic,Mari,57,48
moksha,Moksha,moks1248,,mdf,,Uralic,Mordvin,54,44
erzya,Erzya,erzy1239,,myv,,Uralic,Mordvin,53,45.5
udmurt,Udmurt,udmu1245,,udm,,Uralic,Permian,57.5,52.5
komipermyak,Komi-Permyak,komi1269,,koi,,Uralic,Permian,59.5,54.5
komizyrian,Komi-Zyrian,komi1268,,kpv,,Uralic,Permian,65,55
hungarian,Hungarian,hung1274,,hun,,Uralic,Hungarian,47,20
northernkhanty,Northern Khanty,khan1273,,kca,,Uralic,Khantyic,65,65
northernmansi,Northern Mansi,mans1258,,mns,,Uralic,Mansic,62,62
northernselkup,Northern Selkup,selk1253,,sel,,Uralic,Samoyedic,65,82
tundranenets,Tundra Nenets,nene1249,,yrk,,Uralic,Samoyedic,70,76
forestenets,Forest Enets,fore1265,,enf,,Uralic,Samoyedic,,
nganasan,Nganasan,ngan1291,,nio,,Uralic,Samoyedic,71,93
bengali,Bengali,beng1280,,ben,,Indo-European,Indo-Iranian,24,90
hindi,Hindi,hind1269,,hin,,Indo-European,Indo-Iranian,25,77
northernpashto,Northern Pashto,nort2646,,pbu,,Indo-European,Indo-Iranian,,
westernfarsi,Western Farsi,west2369,,pes,,Indo-European,Indo-Iranian,32,54
northernkurdish,Northern Kurdish,nort2641,,kmr,,Indo-European,Indo-Iranian,38,42
ossetian,Ossetian,osse1243,,oss,,Indo-European,Indo-Iranian,43,44
armenian,Armenian,nucl1235,,hye,,Indo-European,Armenic,32.6666666667,51.6666666667
moderngreek,Modern Greek,mode1248,,ell,,Indo-European,Graeco-Phrygian,39,22
standardalbanian,Standard Albanian,alba1267,,sqi,,Indo-European,Albanian,,
bulgarian,Bulgarian,bulg1262,,bul,,Indo-European,Balto-Slavic,42.5,25
croatian,Croatian,croa1245,,hrv,,Indo-European,Balto-Slavic,,
slovene,Slovene,slov1268,,slv,,Indo-European,Balto-Slavic,46,15
slovak,Slovak,slov1269,,slk,,Indo-European,Balto-Slavic,49,20
czech,Czech,czec1258,,ces,,Indo-European,Balto-Slavic,50,15
polish,Polish,poli1260,,pol,,Indo-European,Balto-Slavic,52,20
ukrainian,Ukrainian,ukra1253,,ukr,,Indo-European,Balto-Slavic,49,33
belarusian,Belarusian,bela1254,,bel,,Indo-European,Balto-Slavic,54,28
russian,Russian,russ1263,,rus,,Indo-European,Balto-Slavic,56,38
lithuanian,Lithuanian,lith1251,,lit,,Indo-European,Balto-Slavic,55,24
latvian,Latvian,latv1249,,lav,,Indo-European,Balto-Slavic,57,24
icelandic,Icelandic,icel1247,,isl,,Indo-European,Germanic,65,-17
norwegianbokmal,Norwegian (Bokmål),norw1258,,nor,,Indo-European,Germanic,,
swedish,Swedish,swed1254,,swe,,Indo-European,Germanic,64.25,19.75
danish,Danish,dani1285,,dan,,Indo-European,Germanic,56,10
german,German,stan1295,,deu,,Indo-European,Germanic,45.75,21.25
