ID,Name,Concepticon_ID,Concepticon_Gloss,concepticon_proposed,semantic_field
AugeN,Auge::N,1248,EYE,EYE,HUMAN BODY
OhrN,Ohr::N,1247,EAR,EAR,HUMAN BODY
NaseN,Nase::N,1221,NOSE,NOSE,HUMAN BODY
MundN,Mund::N,674,MOUTH,MOUTH,HUMAN BODY
ZahnN,Zahn::N,1380,TOOTH,TOOTH,HUMAN BODY
ZungeN,Zunge::N,1205,TONGUE,TONGUE,HUMAN BODY
LippeN,Lippe::N,478,LIP,LIP,HUMAN BODY
WangeN,Wange::N,1730,CHEEK,CHEEK,HUMAN BODY
GesichtN,Gesicht::N,1560,FACE,FACE,HUMAN BODY
StirnN,Stirn::N,123,FOREHEAD,FOREHEAD,HUMAN BODY
HaarN,Haar::N,1040,HAIR,HAIR,HUMAN BODY
SchnurrbartN,Schnurrbart::N,1165,MOUSTACHE,MOUSTACHE,HUMAN BODY
BartN,Bart::N,678,BEARD,BEARD,HUMAN BODY
KinnN,Kinn::N,1510,CHIN,CHIN,HUMAN BODY
KieferAnatomieN,Kiefer[Anatomie]::N,798,JAW,JAW,HUMAN BODY
KehleN,Kehle::N,1346,THROAT,THROAT,HUMAN BODY
HalsN,Hals::N,1333,NECK,NECK,HUMAN BODY
GenickN,Genick::N,1347,NAPE (OF NECK),NAPE_(OF_NECK),HUMAN BODY
KopfN,Kopf::N,1256,HEAD,HEAD,HUMAN BODY
RuckenN,Rücken::N,1291,BACK,BACK,HUMAN BODY
BauchN,Bauch::N,1251,BELLY,BELLY,HUMAN BODY
NabelN,Nabel::N,1838,NAVEL,NAVEL,HUMAN BODY
BusenN,Busen::N,1402,BREAST,BREAST,HUMAN BODY
BrustN,Brust::N,1592,CHEST,CHEST,HUMAN BODY
SchulterN,Schulter::N,1482,SHOULDER,SHOULDER,HUMAN BODY
ArmN,Arm::N,1673,ARM,ARM,HUMAN BODY
EllenbogenN,Ellenbogen::N,981,ELBOW,ELBOW,HUMAN BODY
HandN,Hand::N,1277,HAND,HAND,HUMAN BODY
HandflacheN,Handfläche::N,1183,PALM OF HAND,PALM_OF_HAND,HUMAN BODY
FingerN,Finger::N,1303,FINGER,FINGER,HUMAN BODY
FingernagelN,Fingernagel::N,1258,FINGERNAIL,FINGERNAIL,HUMAN BODY
NagelAnatomieN,Nagel[Anatomie]::N,1896,FINGERNAIL OR TOENAIL,FINGERNAIL_OR_TOENAIL,HUMAN BODY
ZehN,Zeh::N,1389,TOE,TOE,HUMAN BODY
FuN,Fuß::N,1301,FOOT,FOOT,HUMAN BODY
FerseN,Ferse::N,980,HEEL,HEEL,HUMAN BODY
KnieN,Knie::N,1371,KNEE,KNEE,HUMAN BODY
OberschenkelN,Oberschenkel::N,800,THIGH,THIGH,HUMAN BODY
BeinN,Bein::N,1297,LEG,LEG,HUMAN BODY
KorperN,Körper::N,1480,BODY,BODY,HUMAN BODY
HautN,Haut::N,763,SKIN,SKIN,HUMAN BODY
BlutN,Blut::N,946,BLOOD,BLOOD,HUMAN BODY
AderN,Ader::N,1924,VEIN,VEIN,HUMAN BODY
SehneN,Sehne::N,1137,TENDON,TENDON,HUMAN BODY
KnochenN,Knochen::N,1394,BONE,BONE,HUMAN BODY
GehirnN,Gehirn::N,1583,BRAIN,BRAIN,HUMAN BODY
HerzN,Herz::N,1223,HEART,HEART,HUMAN BODY
