ipa	ipa_unicode	height	backness	roundness	extreme	extreme_rounding	manner	manner_voicing	position	position_voicing	voicing	candinal_sounds_ipa	candinal_sounds_unicode
ɐ	ɐ	[low]	[central]	[-round]	[low_back]	[low_back_-r]						ɐ	ɐ
ɡ	ɡ						[stop]	[stop_+v]	[vel]	[vel_+v]	[+voice]	g	g
ɧ	ɧ						[cont]	[cont_+v]	[lab]	[lab_+v]	[+voice]	v	v
ʀ	ʀ						[vib]	[vib_+v]	[vel]	[vel_+v]	[+voice]	ʀ	ʀ
ʡ	ʡ						[stop]	[stop_-v]	[glot]	[glot_-v]	[-voice]	ʔ	ʔ
ʰ	ʰ						[cont]	[cont_-v]	[glot]	[glot_-v]	[-voice]	h	h
ʲ	ʲ						[cont]	[cont_+v]	[pal]	[pal_+v]	[+voice]	j	j
ʷ	ʷ						[cont]	[cont_+v]	[lab]	[lab_+v]	[+voice]	v	v
ˀ	ˀ						[stop]	[stop_-v]	[glot]	[glot_-v]	[-voice]	ʔ	ʔ
ˤ	ˤ						[cont]	[cont_+v]	[glot]	[glot_+v]	[+voice]	ʕ	ʕ
ˠ	ˠ						[cont]	[cont_+v]	[vel]	[vel_+v]	[+voice]	ɣ	ɣ
ŋ̥	ŋ̥						[nas]	[nas_-v]	[pal]	[pal_-v]	[-voice]	ɲ̊	ἠ
ʎ̥	ʎ̥						[lat]	[lat_-v]	[pal]	[pal_-v]	[-voice]	ʎ̥	
ɲ̥	ɲ̥						[nas]	[nas_-v]	[vel]	[vel_-v]	[-voice]	ŋ̊	ŉ
ʜ	ʜ						[cont]	[cont_-v]	[glot]	[glot_-v]	[-voice]	h	h
m̥	ṃ						[nas]	[nas_-v]	[lab]	[lab_-v]	[-voice]	m̥	ṃ
m	m						[nas]	[nas_+v]	[lab]	[lab_+v]	[+voice]	m	m
ɱ	ɱ						[nas]	[nas_+v]	[lab]	[lab_+v]	[+voice]	m	m
n̪̥	ṋ						[nas]	[nas_-v]	[alv]	[alv_-v]	[-voice]	n̥	ṋ
n̪	¤						[nas]	[nas_+v]	[alv]	[alv_+v]	[+voice]	n	n
n̥	ṇ						[nas]	[nas_-v]	[alv]	[alv_-v]	[-voice]	n̥	ṋ
n	n						[nas]	[nas_+v]	[alv]	[alv_+v]	[+voice]	n	n
ɳ	ɳ						[nas]	[nas_+v]	[pal]	[pal_+v]	[+voice]	ɲ	ɲ
ɲ̊	ἠ						[nas]	[nas_-v]	[pal]	[pal_-v]	[-voice]	ɲ̊	ἠ
ɲ	ɲ						[nas]	[nas_+v]	[pal]	[pal_+v]	[+voice]	ɲ	ɲ
ŋ̊	ŉ						[nas]	[nas_-v]	[vel]	[vel_-v]	[-voice]	ŋ̊	ŉ
ŋ	ŋ						[nas]	[nas_+v]	[vel]	[vel_+v]	[+voice]	ŋ	ŋ
ɴ	ɴ						[nas]	[nas_+v]	[vel]	[vel_+v]	[+voice]	ŋ	ŋ
m̰	ṁ						[nas]	[nas_+v]	[lab]	[lab_+v]	[+voice]	m	m
n̪̰	ň						[nas]	[nas_+v]	[alv]	[alv_+v]	[+voice]	n	n
p	p						[stop]	[stop_-v]	[lab]	[lab_-v]	[-voice]	p	p
b	b						[stop]	[stop_+v]	[lab]	[lab_+v]	[+voice]	b	b
t̪	ŧ						[stop]	[stop_-v]	[alv]	[alv_-v]	[-voice]	t	t
d̪	đ						[stop]	[stop_+v]	[alv]	[alv_+v]	[+voice]	d	d
t	t						[stop]	[stop_-v]	[alv]	[alv_-v]	[-voice]	t	t
d	d						[stop]	[stop_+v]	[alv]	[alv_+v]	[+voice]	d	d
ʈ	ʈ						[stop]	[stop_-v]	[pal]	[pal_-v]	[-voice]	c	c
ɖ	ɖ						[stop]	[stop_+v]	[pal]	[pal_+v]	[+voice]	ɟ	ɟ
c	c						[stop]	[stop_-v]	[pal]	[pal_-v]	[-voice]	c	c
ɟ	ɟ						[stop]	[stop_+v]	[pal]	[pal_+v]	[+voice]	ɟ	ɟ
k	k						[stop]	[stop_-v]	[vel]	[vel_-v]	[-voice]	k	k
g	g						[stop]	[stop_+v]	[vel]	[vel_+v]	[+voice]	g	g
q	q						[stop]	[stop_-v]	[vel]	[vel_-v]	[-voice]	k	k
ɢ	ɢ						[stop]	[stop_+v]	[vel]	[vel_+v]	[+voice]	g	g
ʔ	ʔ						[stop]	[stop_-v]	[glot]	[glot_-v]	[-voice]	ʔ	ʔ
pʼ	ṕ						[stop]	[stop_-v]	[lab]	[lab_-v]	[-voice]	p	p
t̪ʼ	ţ						[stop]	[stop_-v]	[alv]	[alv_-v]	[-voice]	t	t
tʼ	ť						[stop]	[stop_-v]	[alv]	[alv_-v]	[-voice]	t	t
ʈʼ	ț						[stop]	[stop_-v]	[pal]	[pal_-v]	[-voice]	c	c
cʼ	ć						[stop]	[stop_-v]	[pal]	[pal_-v]	[-voice]	c	c
